,Title 1,Meta Description 1,H1-1
3380,"Fox Sports - ""Holograms""",Television Holograms for Fox Sports,"Fox Sports - ""Holograms"""
3381,"Fox Sports - ""Jets vs. Eagles""",Television Jets vs. Eagles for Fox Sports,"Fox Sports - ""Jets vs. Eagles"""
3382,"Fox Sports - ""Sleep""",Television Sleep for Fox Sports,"Fox Sports - ""Sleep"""
3383,"Tena Men - ""'Control’, ‘Clench’ & ‘Tips’ ""","Television 'Control’, ‘Clench’ & ‘Tips’  for Tena Men by AMV BBDO","Tena Men - ""'Control’, ‘Clench’ & ‘Tips’ """
3384,"NASCAR - ""My Nation""",Television My Nation for NASCAR by Ogilvy - The battle has begun. 16 NASCAR nations will battle until one driver is crowned champion. This is the most impo...,"NASCAR - ""My Nation"""
3385,"NASCAR - ""Pledge""",Television Pledge for NASCAR by Ogilvy,"NASCAR - ""Pledge"""
3386,"Sky - ""Time Traveller""",Television & Cinema Time Traveller for Sky by Brothers and Sisters,"Sky - ""Time Traveller"""
3387,"Peak Performance - ""#justaddski""",Digital #justaddski for Peak Performance by Perfect Fools - Peak Performance is calling on skiers from all over the world to start the season early by taki...,"Peak Performance - ""#justaddski"""
3388,"BMW - ""Superstitions""",Television Superstitions for BMW by Forsman & Bodenfors New York,"BMW - ""Superstitions"""
3389,"Electric Ireland - ""Major Moments""",Television & Cinema Major Moments for Electric Ireland  by TBWA\Dublin,"Electric Ireland - ""Major Moments"""
3390,"Apple - ""Train""",Digital Train for Apple by TBWA\Media Arts Lab,"Apple - ""Train"""
3391,"Powerade - ""Believe""","Television Believe for Powerade by La América - Background
Aerolíneas Argentinas es una marca histórica y muy querida por los argentinos, pero durante los...","Powerade - ""Believe"""
3392,"Martin - ""Rhythm of the city""",Television & Cinema Rhythm of the city for Martin - Different sounds produced by sunflower seeds ignite a dance that spreads through out a town.,"Martin - ""Rhythm of the city"""
3393,"BMW - ""Mood Swings (:30)""",Television Mood Swings (:30) for BMW by Forsman & Bodenfors New York,"BMW - ""Mood Swings (:30)"""
3394,"UFC - ""UFC 193: Ronda Rousey vs. Holly Holm - Revolution""",Web Film UFC 193: Ronda Rousey vs. Holly Holm - Revolution for UFC - Every revolution starts with a fight. This one features world bantamweight champion Ro...,"UFC - ""UFC 193: Ronda Rousey vs. Holly Holm - Revolution"""
3395,"Sky Sports F1 - ""F1 New Season""",Television F1 New Season for Sky Sports F1 by Sky Creative,"Sky Sports F1 - ""F1 New Season"""
3396,"Sky Sports - ""US Open Tennis""",Television US Open Tennis for Sky Sports by Sky Creative,"Sky Sports - ""US Open Tennis"""
3397,"Under Armour - ""Flash""","Digital Flash for Under Armour by Droga5 - How long does it take to change the game? Hours? Days? Years? Decades? Nah...In this game, it only takes a...","Under Armour - ""Flash"""
3398,"Arcor - ""Father-Son""",Television & Cinema Father-Son for Arcor by Leo Burnett Argentina - Brings family together,"Arcor - ""Father-Son"""
3399,"Arcor - ""Mother-in-Law""",Television & Cinema Mother-in-Law for Arcor by Leo Burnett Argentina - Brings family together,"Arcor - ""Mother-in-Law"""
3400,"Audi AG - ""Speed Wheels""",Television & Cinema Speed Wheels for Audi AG by Loved GmbH,"Audi AG - ""Speed Wheels"""
3401,"Audi AG - ""quattro 3.0""",Television & Cinema quattro 3.0 for Audi AG by thjnk - Welcome to the land of quattro,"Audi AG - ""quattro 3.0"""
3402,"Full Throttles CO. - ""After Your Wedding""",Television & Cinema After Your Wedding for Full Throttles CO. by AOI Pro. Inc.,"Full Throttles CO. - ""After Your Wedding"""
3403,"State Farm - ""Throwback""",Television Throwback for State Farm by DDB Chicago,"State Farm - ""Throwback"""
3404,"Kia Optima - ""Newspaper""","Television Newspaper for Kia Optima by David&Goliath - Blake Griffin is about to make headlines, again. So is the next generation 2016 Kia Optima. With its...","Kia Optima - ""Newspaper"""
3405,"Nike - ""Instaposters""",Case Study Instaposters for Nike by Instinct - Real time and hyper personal approach of Nike Women’s city attack. Unexpected reward and motivation th...,"Nike - ""Instaposters"""
3406,"Canal+ - ""Canal+ Rebrand""",Television Canal+ Rebrand for Canal+ by Erretres,"Canal+ - ""Canal+ Rebrand"""
3407,"NBA - ""Joy""",Television Joy for NBA by Translation,"NBA - ""Joy"""
3408,"Czech Radio - ""Fanstars""",Digital Fanstars for Czech Radio by Ogilvy & Mather Prague,"Czech Radio - ""Fanstars"""
3409,"Equidia - ""#NaissanceDunPoulainEnDirect""","Case Study #NaissanceDunPoulainEnDirect for Equidia by Fred & Farid  - Today, more than 60 % of French people declare to like horses (37M of people):A huge...","Equidia - ""#NaissanceDunPoulainEnDirect"""
3410,"P&G - ""Always LikeAGirlTuring an Insult into a""",Television & Cinema Always LikeAGirlTuring an Insult into a for P&G by MSLGROUP,"P&G - ""Always LikeAGirlTuring an Insult into a"""
3411,"Neymar Jr. - ""somostodosmacacos weareallmonkeys""",Television & Cinema somostodosmacacos weareallmonkeys for Neymar Jr. by Havas São Paulo,"Neymar Jr. - ""somostodosmacacos weareallmonkeys"""
3412,"Gatorade - ""Moving The Game Forward""","Television Moving The Game Forward for Gatorade by TBWA\Chiat\Day Los Angeles - Whether you’re practicing your J in the driveway or immortalized in bronze,...","Gatorade - ""Moving The Game Forward"""
3413,"AT&T - ""The Jordan Spieth Mosaic""",Television The Jordan Spieth Mosaic for AT&T by BBDO New York,"AT&T - ""The Jordan Spieth Mosaic"""
3414,"Tirendo - ""The Impossible Ride with Sebastian Vettel""",Television The Impossible Ride with Sebastian Vettel for Tirendo by Grey Berlin - What happens when you film a sports car racing in reverse and then play i...,"Tirendo - ""The Impossible Ride with Sebastian Vettel"""
3415,"Argos - ""Just Can’t Wait for Christmas""",Television Just Can’t Wait for Christmas for Argos by The&Partnership,"Argos - ""Just Can’t Wait for Christmas"""
3416,"DICK's - ""The Gift""",Digital The Gift for DICK's by Anomaly New York,"DICK's - ""The Gift"""
3417,"Spies - ""Do it for Mom""",Public Relations Do it for Mom for Spies by Robert/Boisen & Like-minded A/S - This campaign was done in order to promote that Spies Travels also sell activ...,"Spies - ""Do it for Mom"""
3418,"Foot Locker - ""Greatness in Common feat. Tracy Morgan and Aaron Rodgers""",Television Greatness in Common feat. Tracy Morgan and Aaron Rodgers for Foot Locker by BBDO New York - The Week of Greatness and Tracy Morgan are both back...,"Foot Locker - ""Greatness in Common feat. Tracy Morgan and Aaron Rodgers"""
3419,"Foot Locker - ""Imitators""",Television Imitators for Foot Locker by BBDO New York,"Foot Locker - ""Imitators"""
3420,"Saartchi LA - ""Gloveworx""","Television Gloveworx for Saartchi LA by M&C Saatchi LA - M&C Saatchi LA has partnered with Leyon Azubuike & Nick Henry to launch Gloveworx USA, San...","Saartchi LA - ""Gloveworx"""
3421,"Capra - ""Trailscape""",Outdoor/Out of Home Trailscape for Capra by Hill Holliday - Merrell has always been a brand that inspires people to get outside and be awed by nature. But...,"Capra - ""Trailscape"""
3422,"Planet Fitness - ""Battle Gym""",Cinema Battle Gym for Planet Fitness by Red Tettemer O’Connell + Partners - Red Tettemer O'Connell + Partners (RTO+P) has created a new campaign for fitnes...,"Planet Fitness - ""Battle Gym"""
3423,"Sports wear - ""Trollfighters""","Digital Trollfighters for Sports wear - When Kari Traa came to us for their first ever commercial, we didn’t want to create a traditional TV spot, bu...","Sports wear - ""Trollfighters"""
3424,"MasterCard - ""Sentirse Campeon""",Digital Sentirse Campeon for MasterCard by The Axis Agency,"MasterCard - ""Sentirse Campeon"""
3425,"State Farm - ""Cheesehead: Beyond The Fan""","Television Cheesehead: Beyond The Fan for State Farm by DDB Chicago - In the new spot, “Cheesehead: Beyond The Fan,” Rodgers is exiting a stadi...","State Farm - ""Cheesehead: Beyond The Fan"""
3426,"Porsche - ""Taking the driving test in a sports car""",Digital Taking the driving test in a sports car for Porsche by Quai des Orfèvres,"Porsche - ""Taking the driving test in a sports car"""
3427,"Samsung Galaxy - ""Trek""",Television & Cinema Trek for Samsung Galaxy by 72andSunny - We are Greater than I,"Samsung Galaxy - ""Trek"""
3428,"Samsung Gear Circle - ""On My Way""","Television On My Way for Samsung Gear Circle by Deep Focus - The sound design highlighted product features, while the soundtrack from Barbara Dane’s...","Samsung Gear Circle - ""On My Way"""
3429,"H-E-B & San Antonio Spurs - ""New Boat""",Television New Boat for H-E-B & San Antonio Spurs by The Richards Group - Sugar Film Production director Chris Smith delivers yet another overtime win of a...,"H-E-B & San Antonio Spurs - ""New Boat"""
3430,"H-E-B & San Antonio Spurs - ""Gifts for LaMarcus""",Television Gifts for LaMarcus for H-E-B & San Antonio Spurs by The Richards Group - Sugar Film Production director Chris Smith delivers yet another overtim...,"H-E-B & San Antonio Spurs - ""Gifts for LaMarcus"""
3431,"H-E-B & San Antonio Spurs - ""Cooking Class""",Television Cooking Class for H-E-B & San Antonio Spurs by The Richards Group - Sugar Film Production director Chris Smith delivers yet another overtime win...,"H-E-B & San Antonio Spurs - ""Cooking Class"""
3432,"H-E-B & San Antonio Spurs - ""Stronger Than Coyote""",Television Stronger Than Coyote for H-E-B & San Antonio Spurs by The Richards Group - Sugar Film Production director Chris Smith delivers yet another overt...,"H-E-B & San Antonio Spurs - ""Stronger Than Coyote"""
3433,"H-E-B & San Antonio Spurs - ""Chicken Retreat""",Television Chicken Retreat for H-E-B & San Antonio Spurs by The Richards Group - Sugar Film Production director Chris Smith delivers yet another overtime w...,"H-E-B & San Antonio Spurs - ""Chicken Retreat"""
3434,"Kia - ""Ten Mil""","Digital Ten Mil for Kia by David&Goliath - The 2016 K900 is Kia’s flagship luxury sedan. Despite its incredible quality and class-leading features, n...","Kia - ""Ten Mil"""
3435,"Barcellos Sports - ""Bomb""",Print Bomb for Barcellos Sports by Bolero - The Greater The Distance The Better,"Barcellos Sports - ""Bomb"""
3436,"Barcellos Sports - ""Cannibal""",Print Cannibal for Barcellos Sports by Bolero - The Greater The Distance The Better,"Barcellos Sports - ""Cannibal"""
3437,"Barcellos Sports - ""Shark""",Print Shark for Barcellos Sports by Bolero - The Greater The Distance The Better,"Barcellos Sports - ""Shark"""
3438,"McDonald's - ""Catch of the day""","Outdoor/Out of Home Catch of the day for McDonald's by Leo Burnett Germany - McDonald´s is a brand for ""everybody,"" from kids to the 80-year-old gran...","McDonald's - ""Catch of the day"""
3439,"Bleacher Report - ""Sports Alphabet -- Blackalicious""",Web Film Sports Alphabet -- Blackalicious for Bleacher Report by BarrettSF,"Bleacher Report - ""Sports Alphabet -- Blackalicious"""
3440,"Insurance for Accident Prevention - ""Snowflake""",Print Snowflake for Insurance for Accident Prevention by Ruf Lanz Werbeagentur - Snow loses his beauty if you sky to fast,"Insurance for Accident Prevention - ""Snowflake"""
3441,"Jaguar - ""Actual Reality""",Ambient Actual Reality for Jaguar by Y&R New Zealand,"Jaguar - ""Actual Reality"""
3442,"AD Sports TV - ""Fencing""",Television & Cinema Fencing for AD Sports TV by Les Folies - Every ground can be your playground,"AD Sports TV - ""Fencing"""
3443,"AD Sports TV - ""Swimming""",Television & Cinema Swimming for AD Sports TV by Les Folies - Fulfilling the core message “Every ground can be your playground” (#yoursportsground) we tran...,"AD Sports TV - ""Swimming"""
3444,"AD Sports TV - ""Football""",Television & Cinema Football for AD Sports TV by Les Folies - Fulfilling the core message “Every ground can be your playground” (#yoursportsground) we tran...,"AD Sports TV - ""Football"""
3445,"AD Sports TV - ""Basket-Ball""",Television & Cinema Basket-Ball for AD Sports TV by Les Folies - Fulfilling the core message “Every ground can be your playground” (#yoursportsground) we t...,"AD Sports TV - ""Basket-Ball"""
3446,"AD Sports TV - ""Judo""",Television & Cinema Judo for AD Sports TV by Les Folies - Fulfilling the core message “Every ground can be your playground” (#yoursportsground) we transfor...,"AD Sports TV - ""Judo"""
3447,"AD Sports TV - ""Running""",Television & Cinema Running for AD Sports TV by Les Folies - Fulfilling the core message “Every ground can be your playground” (#yoursportsground) we trans...,"AD Sports TV - ""Running"""
3448,"AD Sports TV - ""Boxing""",Television & Cinema Boxing for AD Sports TV by Les Folies - Fulfilling the core message “Every ground can be your playground” (#yoursportsground) we transf...,"AD Sports TV - ""Boxing"""
3449,"AD Sports TV - ""Tennis""",Television & Cinema Tennis for AD Sports TV by Les Folies - Fulfilling the core message “Every ground can be your playground” (#yoursportsground) we transf...,"AD Sports TV - ""Tennis"""
3450,"Disprin Fever - ""Stevovo""","Television & Cinema Stevovo for Disprin Fever by Havas South Africa - Disprin is an aspirin-based, dissolvable, fast-acting pain-relieving OTC medication w...","Disprin Fever - ""Stevovo"""
3451,"""Videos of Children Playing""",Case Study Videos of Children Playing for  by Rocky Advertising - Exercise improves children's health and also reduces injuries. But kids don't move enough...,"""Videos of Children Playing"""
3452,"Acura - ""March Memeness""",Case Study March Memeness for Acura by MullenLowe Profero San Francisco,"Acura - ""March Memeness"""
3453,"Capra - ""Trailscape""","Case Study Trailscape for Capra by Hill Holliday - A shoe designed by Merrell for being outdoors, named after the Capra mountain goat.","Capra - ""Trailscape"""
3454,"Stella Artois - ""Fly Like Rufus""",Case Study Fly Like Rufus for Stella Artois by Mother London - The brief was to communicate Stella Artois’ sponsorship of the Wimbledon Tennis Championship...,"Stella Artois - ""Fly Like Rufus"""
3455,"G - ""Forget Me (Abby Wambach) """,Television Forget Me (Abby Wambach)  for G by TBWA\Chiat\Day Los Angeles,"G - ""Forget Me (Abby Wambach) """
3456,"Pearl & Dean - ""Back of The Head""",Television & Cinema Back of The Head for Pearl & Dean by Brothers and Sisters - There are a lot of unseen heroes in the movie biz. None are more famous tha...,"Pearl & Dean - ""Back of The Head"""
3457,"Lacoste - ""Winter Croc Adventures""","Integrated Media/360 Activation Winter Croc Adventures for Lacoste by MNSTR - For the 2015 winter holidays, Lacoste launches with the Paris based agency MN...","Lacoste - ""Winter Croc Adventures"""
3458,"VHV CAR INSURANCE - ""Jack""",Radio Jack for VHV CAR INSURANCE by Scholz & Friends Hamburg GmbH,"VHV CAR INSURANCE - ""Jack"""
3459,"BNP Paribas - ""We Are Tennis Fan Academy""",Case Study We Are Tennis Fan Academy for BNP Paribas by We Are Social - L'histoire de BNP Paribas avec le Tennis débute en 1973. Déjà plus de 40 ans de fid...,"BNP Paribas - ""We Are Tennis Fan Academy"""
3460,"Orange - ""#RugbyBattle""",Web Site #RugbyBattle for Orange by Havas Sports & Entertainment,"Orange - ""#RugbyBattle"""
3461,"Grey Goose Vodka - ""The Winning Shot""",Digital The Winning Shot for Grey Goose Vodka by BBDO New York,"Grey Goose Vodka - ""The Winning Shot"""
3462,"BBC Sport - ""Anything Could Happen""",Television Anything Could Happen for BBC Sport by Y&R London,"BBC Sport - ""Anything Could Happen"""
3463,"Benfica Foundation - ""An Unexpected Reward""","Web Film An Unexpected Reward for Benfica Foundation by O Escritório - An unexpected reward, a short documentary for the Benfica Foundation, a non-profit o...","Benfica Foundation - ""An Unexpected Reward"""
3464,"Winamax - ""L'amour du sport""","Television L'amour du sport for Winamax by Havas Paris - WINAMAX - Vous méritez les meilleures cotes, septembre 2015
« Vous méritez les...","Winamax - ""L'amour du sport"""
3465,"The ParalympicsGB team - ""Supercharge ParalympicsGB""",Television Supercharge ParalympicsGB for The ParalympicsGB team by Y&R London,"The ParalympicsGB team - ""Supercharge ParalympicsGB"""
3466,"Tough Mudder - ""The Battery""",Digital The Battery for Tough Mudder by ROKKAN - Tough Mudder is a team-oriented 10-12 mile obstacle course designed to test physical strength and mental g...,"Tough Mudder - ""The Battery"""
3467,"Tough Mudder - ""The Escape""",Digital The Escape for Tough Mudder by ROKKAN - Tough Mudder is a team-oriented 10-12 mile obstacle course designed to test physical strength and mental gr...,"Tough Mudder - ""The Escape"""
3468,"Tough Mudder - ""The Swingset""",Digital The Swingset for Tough Mudder by ROKKAN - Tough Mudder is a team-oriented 10-12 mile obstacle course designed to test physical strength and mental...,"Tough Mudder - ""The Swingset"""
3469,"Lacoste - ""LT12""","Integrated Media/360 Activation LT12 for Lacoste by MNSTR - En 2015, Lacoste souhaite relancer sa ligne ‘technique’ sport.27 ans après l...","Lacoste - ""LT12"""
3470,"Lacoste - ""Winter Croc Adventures - Backstage""","Integrated Media/360 Activation Winter Croc Adventures - Backstage for Lacoste by MNSTR - For the winter holidays, Lacoste launches with MNSTR ""Winter Croc...","Lacoste - ""Winter Croc Adventures - Backstage"""
3471,"Pulsar RS200 - ""PulsarRS200 Director's Cut""","Television & Cinema PulsarRS200 Director's Cut for Pulsar RS200 by Ogilvy India - As the town clock strikes 3pm, the crowd gets ready to experience their d...","Pulsar RS200 - ""PulsarRS200 Director's Cut"""
3472,"""Sports""",Television Sports for  by Publicis Italy,"""Sports"""
3473,"Amazon Echo - ""#BaldwinBowl Party feat Alec Baldwin, Dan Marino, Jason Schwartzman, & Missy Elliot""","Television #BaldwinBowl Party feat Alec Baldwin, Dan Marino, Jason Schwartzman, & Missy Elliot for Amazon Echo by Leo Burnett Toronto - From Schwartzman&rs...","Amazon Echo - ""#BaldwinBowl Party feat Alec Baldwin, Dan Marino, Jason Schwartzman, & Missy Elliot"""
3474,"PMU.FR - ""Pariez sur tous les sports""",Television Pariez sur tous les sports for PMU.FR by Publicis Conseil,"PMU.FR - ""Pariez sur tous les sports"""
3475,"Mercedes-Benz Vito Sport - ""Dirt vs Road""",Television Dirt vs Road for Mercedes-Benz Vito Sport  by AllTogetherNow,"Mercedes-Benz Vito Sport - ""Dirt vs Road"""
3476,"MasterCard - ""MasterCard Capsule""",Case Study MasterCard Capsule for MasterCard by Isobar Poland - Put the phone away and start talking – it is the main theme of the latest campaign of...,"MasterCard - ""MasterCard Capsule"""
3477,"Ministry of Education - ""Why""",Television Why for Ministry of Education by DDB Singapore,"Ministry of Education - ""Why"""
3478,"Nebula - ""#startbreathing""",Television #startbreathing for Nebula by Doner,"Nebula - ""#startbreathing"""
3479,"Nebula - ""#startbreathing woman""",Print #startbreathing woman for Nebula by Doner,"Nebula - ""#startbreathing woman"""
3480,"Nebula - ""#startbreathing man""",Print #startbreathing man for Nebula by Doner,"Nebula - ""#startbreathing man"""
3481,"Ford Kuga - ""Your feet have got potential""",Print Your feet have got potential for Ford Kuga by BBR Saatchi & Saatchi,"Ford Kuga - ""Your feet have got potential"""
3482,"Paddy Power - ""Bino""","Television & Cinema Bino for Paddy Power by Lucky Generals - Lucky Generals has developed a major new campaign for Paddy Power, featuring Kayvan Novak, the...","Paddy Power - ""Bino"""
3483,"Paddy Power - ""Casino""","Television & Cinema Casino for Paddy Power by Lucky Generals - Lucky Generals has developed a major new campaign for Paddy Power, featuring Kayvan Novak, t...","Paddy Power - ""Casino"""
3484,"Paddy Power - ""Piano""","Television & Cinema Piano for Paddy Power by Lucky Generals - Lucky Generals has developed a major new campaign for Paddy Power, featuring Kayvan Novak, th...","Paddy Power - ""Piano"""
3485,"Paddy Power - ""Van""","Television & Cinema Van for Paddy Power by Lucky Generals - Lucky Generals has developed a major new campaign for Paddy Power, featuring Kayvan Novak, the...","Paddy Power - ""Van"""
3486,"Swisscom TV 2.0 - ""Playoff Hack""","Outdoor/Out of Home Playoff Hack for Swisscom TV 2.0 by Republica - The live stunt advertised digital Swisscom TV 2.0, where best Live Sport meets best ent...","Swisscom TV 2.0 - ""Playoff Hack"""
3487,"Claritin - ""Outdoor Challenge""",Television Outdoor Challenge for Claritin by Havas Tonic,"Claritin - ""Outdoor Challenge"""
3488,"Michelin - ""We are racers""",Case Study We are racers for Michelin by TBWA\PARIS - « We are Racers » is a web series of 3 episodes inviting you to live the preparation and the competit...,"Michelin - ""We are racers"""
3489,"Dawri Plus - ""Soccer Tourette""","Television & Cinema Soccer Tourette for Dawri Plus by J. Walter Thompson Riyadh - The CampaignIn this film, we see a group of young men who seem to suffer...","Dawri Plus - ""Soccer Tourette"""
3490,"BAUER Hockey - ""Wakeboarding""",Digital Wakeboarding for BAUER Hockey by ICF Next ,"BAUER Hockey - ""Wakeboarding"""
3491,"RED Interactive Agency - ""Ad Manager""",Case Study Ad Manager for RED Interactive Agency by RED Interactive Agency,"RED Interactive Agency - ""Ad Manager"""
3492,"McDonald's - ""Friends Win!""",Television Friends Win! for McDonald's by DDB Chicago - McDonald’s is rewarding 100 kids from around the world with the opportunity to participate in...,"McDonald's - ""Friends Win!"""
3493,"Pirelli Tire North America - ""PIRELLI ""THE NUMBER""""","Print PIRELLI ""THE NUMBER"" for Pirelli Tire North America by Geometry Global - New York HQ - We introduced Pirelli’s new PZero All Season Plus tire to driv...","Pirelli Tire North America - ""PIRELLI ""THE NUMBER"""""
3494,"Jeep - ""Signs""",Television & Cinema Signs for Jeep,"Jeep - ""Signs"""
3495,"Nissan - ""Difference""",Television & Cinema Difference for Nissan,"Nissan - ""Difference"""
3496,"Copa90 - ""Epic Fireball ""","Digital Epic Fireball  for Copa90 - Fireball Football. Is this the hottest free kick in history?! Watch as Joltter, Andrew Henderson, and Melody Donchet Fa...","Copa90 - ""Epic Fireball """
3497,"Contrex - ""Contrex - À nous l'été !""",Digital Contrex - À nous l'été ! for Contrex by Marcel,"Contrex - ""Contrex - À nous l'été !"""
3498,"Electric Ireland - ""Champions""",Television & Cinema Champions for Electric Ireland ,"Electric Ireland - ""Champions"""
3499,"Samsung SUHD - ""Irony of TV""","Television & Cinema Irony of TV for Samsung SUHD - From the stunning display and rich color to the unrivaled picture quality, the Samsung SUHD is what’s br...","Samsung SUHD - ""Irony of TV"""
3500,"Sport England - ""Zumba""",Print Zumba for Sport England by FCB Inferno - FCB INFERNO CREATES THIS GIRL CAN CAMPAIGN FOR SPORT ENGLAND,"Sport England - ""Zumba"""
3501,"Sport England - ""Jiggle""",Print Jiggle for Sport England by FCB Inferno - FCB INFERNO CREATES THIS GIRL CAN CAMPAIGN FOR SPORT ENGLAND,"Sport England - ""Jiggle"""
3502,"Sport England - ""Stare""",Print Stare for Sport England by FCB Inferno - FCB INFERNO CREATES THIS GIRL CAN CAMPAIGN FOR SPORT ENGLAND,"Sport England - ""Stare"""
3503,"Sport England - ""Boxing""",Print Boxing for Sport England by FCB Inferno - FCB INFERNO CREATES THIS GIRL CAN CAMPAIGN FOR SPORT ENGLAND,"Sport England - ""Boxing"""
3504,"Sport England - ""Football""",Print Football for Sport England by FCB Inferno - FCB INFERNO CREATES THIS GIRL CAN CAMPAIGN FOR SPORT ENGLAND,"Sport England - ""Football"""
3505,"Sport England - ""Rowing""",Print Rowing for Sport England by FCB Inferno - FCB INFERNO CREATES THIS GIRL CAN CAMPAIGN FOR SPORT ENGLAND,"Sport England - ""Rowing"""
3506,Title 1,Meta Description 1,H1-1
3507,"AIB - ""Ryder Cup 2006""",Television & Cinema Ryder Cup 2006 for AIB by JWT Folk,"AIB - ""Ryder Cup 2006"""
3508,"Sport England - ""Swimming""",Print Swimming for Sport England by FCB Inferno - FCB INFERNO CREATES THIS GIRL CAN CAMPAIGN FOR SPORT ENGLAND,"Sport England - ""Swimming"""
3509,"Sport England - ""Cycling""",Print Cycling for Sport England by FCB Inferno - FCB INFERNO CREATES THIS GIRL CAN CAMPAIGN FOR SPORT ENGLAND,"Sport England - ""Cycling"""
3510,"Cadbury - ""Chewy, Chunky or Smooth Cadbury""","Digital Chewy, Chunky or Smooth Cadbury for Cadbury by Dentsu Y&R - Yeng's favorite is Chewy Cadbury Fruit and NutJames chose Chunky Cadbury Cashew and Coo...","Cadbury - ""Chewy, Chunky or Smooth Cadbury"""
3511,"Warrior - ""Warrior Sports Examples""",Web Advertising/Banners Warrior Sports Examples for Warrior by PunkGraphic,"Warrior - ""Warrior Sports Examples"""
3512,"Cinthol - ""DeoReborn""","Television DeoReborn for Cinthol by Creativeland Asia - Bro, the deo spray has made the ultimate sacrifice and changed forever. Its new avatar, CINTHOL DEO...","Cinthol - ""DeoReborn"""
3513,"New Balance - ""You Are Your Toughest Opponent""",Digital You Are Your Toughest Opponent for New Balance by BMB - There is no greater opponent than the one inside your own head. That nagging voice of self...,"New Balance - ""You Are Your Toughest Opponent"""
3514,"Renault Megane - ""Essai Marie NIOGRET""",Web Film Essai Marie NIOGRET for Renault Megane by Publicis Conseil,"Renault Megane - ""Essai Marie NIOGRET"""
3515,"Muscle Milk - ""Stronger Everyday""",Television & Cinema Stronger Everyday for Muscle Milk  by Mekanism - Stronger Everyday.,"Muscle Milk - ""Stronger Everyday"""
3516,"Telenor - ""See Myself""","Television & Cinema See Myself for Telenor by Y&R Budapest - Let’s change how young women see themselves, one emoji at a time. Telenor Hungary introduces S...","Telenor - ""See Myself"""
3517,"Dreyer's Ice Cream - ""Togetherness""","Digital Togetherness for Dreyer's Ice Cream by Goodby Silverstein & Partners - Coming together is a human thing. While families juggle work, school and act...","Dreyer's Ice Cream - ""Togetherness"""
3518,"Hockey Club Davos - ""Bandenbingo - Rink Bingo""","Case Study Bandenbingo - Rink Bingo for Hockey Club Davos by FCB Zurich - Hockey Club Davos is the most successful Swiss ice-hockey team, with currently 31...","Hockey Club Davos - ""Bandenbingo - Rink Bingo"""
3519,"Cadbury - ""Two Best Friends""",Television & Cinema Two Best Friends for Cadbury by Saatchi & Saatchi - Cadbury Dairy Milk has made a delicious new friend. Follow their adventure as they...,"Cadbury - ""Two Best Friends"""
3520,"Vittel - ""Time to Move""",Television & Cinema Time to Move for Vittel by Ogilvy Paris - Le film joue avec humour et truculence sur la méprise de l’offre de Vittel &laqu...,"Vittel - ""Time to Move"""
3521,"Nike Football - ""Generation Lewandowski""",Television Generation Lewandowski for Nike Football - The work is an inspiring call-to-action for football fans in Poland and across Europe wanting to be a...,"Nike Football - ""Generation Lewandowski"""
3522,"Galaxy S7 - ""Dream""",Television Dream for Galaxy S7 by Wieden + Kennedy - Dreams are awesome. And if you could experience anything in a dream just by putting a phone on your fa...,"Galaxy S7 - ""Dream"""
3523,"GMF - ""Nous sommes pour ceux""",Television Nous sommes pour ceux for GMF by TBWA\PARIS,"GMF - ""Nous sommes pour ceux"""
3524,"Asics - ""Want It More""","Television Want It More for Asics - This is an open letter to any fan OF Australian Rugby, the next time you want the win, ask yourself this; how much do y...","Asics - ""Want It More"""
3525,"Alpen - ""Cricket""",Television Cricket for Alpen by BBH - the two TV ads show two people’s idyllic breakfast at home with their families. The sun is streaming in and everythin...,"Alpen - ""Cricket"""
3526,"Alpen - ""Kite""",Television Kite for Alpen by BBH - the two TV ads show two people’s idyllic breakfast at home with their families. The sun is streaming in and everyt...,"Alpen - ""Kite"""
3527,"TyC Sports - ""TYC SPORTS AMERICA""","Television TYC SPORTS AMERICA for TyC Sports by Mercado McCann - “AMERICA""A new TV spot for Argentina´s sports network TyCSports. The spot promotes coverag...","TyC Sports - ""TYC SPORTS AMERICA"""
3528,"UNICEF - ""Ordinary People""",Case Study Ordinary People for UNICEF by Talan Group,"UNICEF - ""Ordinary People"""
3529,"Oatly - ""Oatly""",Case Study Oatly for Oatly by Slice - Break-Fest was the world’s first festival dedicated to pairing great music with breakfast food - all with a Swedish t...,"Oatly - ""Oatly"""
3530,"Ministry of Information Belarus - ""Belarus the place to live""",Digital Belarus the place to live for Ministry of Information Belarus,"Ministry of Information Belarus - ""Belarus the place to live"""
3531,"Betadine - ""Wound Care""",Television Wound Care for Betadine by McCann Health Singapore,"Betadine - ""Wound Care"""
3532,"Corona Extra - ""The Flow""",Digital The Flow for Corona Extra by Wieden + Kennedy Amsterdam,"Corona Extra - ""The Flow"""
3533,"Corona Extra - ""Lime Ritual """,Digital Lime Ritual  for Corona Extra by Wieden + Kennedy Amsterdam,"Corona Extra - ""Lime Ritual """
3534,"Corona Extra - ""Surf Walk """,Digital Surf Walk  for Corona Extra by Wieden + Kennedy Amsterdam,"Corona Extra - ""Surf Walk """
3535,"Corona Extra - ""Underwater Wave """,Digital Underwater Wave  for Corona Extra by Wieden + Kennedy Amsterdam,"Corona Extra - ""Underwater Wave """
